County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates
"Acadia Parish, Louisiana(7)",22001,Urban,26.9 ,19,rising,3.1 
"Warren County, Mississippi(6)",28149,Rural,26.9 ,15,rising,4.0 
"Tishomingo County, Mississippi(6)",28141,Rural,26.9 ,8,rising,4.0 
"Hale County, Texas(7)",48189,Rural,26.9 ,9,stable,-4.0 
"Yell County, Arkansas(6)",5149,Rural,26.9 ,7,stable,2.4 
"Union County, Illinois(7)",17181,Rural,26.9 ,7,rising,4.6 
"Franklin County, Iowa(7)",19069,Rural,26.9 ,4,*,*
"Poinsett County, Arkansas(6)",5111,Urban,26.8 ,8,rising,4.4 
"Brown County, Texas(7)",48049,Rural,26.8 ,14,rising,31.5 
"Marion County, Missouri(6)",29127,Rural,26.8 ,9,rising,4.6 
"Sumter County, Georgia(7)",13261,Rural,26.8 ,10,*,*
"Greenbrier County, West Virginia(6)",54025,Rural,26.8 ,12,rising,3.7 
"Holt County, Nebraska(6)",31089,Rural,26.7 ,4,*,*
"Franklin County, Arkansas(6)",5047,Rural,26.7 ,6,*,*
"Franklin Parish, Louisiana(7)",22041,Rural,26.7 ,7,rising,3.9 
"Pawnee County, Oklahoma(6)",40117,Urban,26.7 ,6,rising,4.1 
"Green County, Wisconsin(6)",55045,Urban,26.7 ,14,stable,2.3 
"Union County, Iowa(7)",19175,Rural,26.7 ,4,*,*
"Bureau County, Illinois(7)",17011,Rural,26.7 ,13,stable,2.2 
"Panola County, Texas(7)",48365,Rural,26.7 ,8,stable,2.4 
"Humboldt County, Iowa(7)",19091,Rural,26.7 ,4,*,*
"Ashley County, Arkansas(6)",5003,Rural,26.7 ,7,rising,4.8 
"Custer County, Nebraska(6)",31041,Rural,26.6 ,4,*,*
"Lawrence County, Tennessee(6)",47099,Rural,26.6 ,14,stable,2.2 
"Bell County, Texas(7)",48027,Urban,26.6 ,88,rising,3.1 
"Graves County, Kentucky(7)",21083,Rural,26.6 ,12,*,*
"St. Landry Parish, Louisiana(7)",22097,Rural,26.5 ,25,stable,-0.2 
"Caddo County, Oklahoma(6)",40015,Rural,26.5 ,9,stable,2.9 
"Newton County, Texas(7)",48351,Rural,26.5 ,5,*,*
"Muscatine County, Iowa(7)",19139,Rural,26.5 ,14,rising,2.4 
"Marshall County, Oklahoma(6)",40095,Rural,26.5 ,6,stable,2.8 
"Lowndes County, Alabama(6)",1085,Urban,26.5 ,4,*,*
"Cass County, Iowa(7)",19029,Rural,26.4 ,5,*,*
"Tippah County, Mississippi(6)",28139,Rural,26.4 ,7,*,*
"Marion County, Tennessee(6)",47115,Urban,26.4 ,10,rising,5.0 
"La Salle Parish, Louisiana(7)",22059,Rural,26.4 ,4,*,*
