County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates
"Giles County, Tennessee(6)",47055,Rural,16.7 ,6,stable,0.6 
"Lake County, Ohio(6)",39085,Urban,16.7 ,54,stable,1.3 
"Bulloch County, Georgia(7)",13031,Rural,16.7 ,13,stable,0.7 
"Transylvania County, North Carolina(6)",37175,Rural,16.7 ,9,rising,5.1 
"Polk County, Wisconsin(6)",55095,Rural,16.7 ,12,stable,2.5 
"Charlotte County, Virginia(6)",51037,Rural,16.7 ,3,*,*
"George County, Mississippi(6)",28039,Rural,16.7 ,5,*,*
"Nez Perce County, Idaho(7)",16069,Urban,16.7 ,9,stable,0.6 
"Kitsap County, Washington(7)",53035,Urban,16.7 ,59,rising,2.1 
"Saluda County, South Carolina(6)",45081,Urban,16.6 ,5,stable,-2.3 
"Fairfax City, Virginia(6)",51600,Urban,16.6 ,5,stable,-1.4 
"Licking County, Ohio(6)",39089,Urban,16.6 ,36,stable,-2.1 
"Kanabec County, Minnesota(6)",27065,Rural,16.6 ,4,stable,-1.2 
"Madison County, Georgia(7)",13195,Urban,16.6 ,7,*,*
"Lebanon County, Pennsylvania(6)",42075,Urban,16.6 ,31,stable,-7.4 
"Monroe County, Georgia(7)",13207,Urban,16.6 ,6,stable,-3.1 
"Yankton County, South Dakota(6)",46135,Rural,16.6 ,5,*,*
"Island County, Washington(7)",53029,Rural,16.6 ,23,stable,-1.0 
"DeKalb County, Alabama(6)",1049,Rural,16.6 ,15,stable,2.5 
"Worcester County, Maryland(6)",24047,Rural,16.6 ,14,stable,1.4 
"San Juan County, New Mexico(7)",35045,Urban,16.6 ,21,rising,2.1 
"Hartford County, Connecticut(7)",9003,Urban,16.6 ,184,rising,1.9 
"Ulster County, New York(7)",36111,Urban,16.6 ,40,stable,1.1 
"Lancaster County, Nebraska(6)",31109,Urban,16.5 ,56,stable,1.1 
"Okaloosa County, Florida(6)",12091,Urban,16.5 ,42,rising,2.6 
"Lapeer County, Michigan(6)",26087,Urban,16.5 ,22,stable,1.8 
"Rusk County, Wisconsin(6)",55107,Rural,16.5 ,4,stable,0.5 
"Collin County, Texas(7)",48085,Urban,16.5 ,168,falling,-1.2 
"Westmoreland County, Pennsylvania(6)",42129,Urban,16.5 ,90,stable,0.2 
"Routt County, Colorado(6)",8107,Rural,16.5 ,4,stable,1.9 
"Northumberland County, Pennsylvania(6)",42097,Rural,16.5 ,21,falling,-16.1 
"Wetzel County, West Virginia(6)",54103,Rural,16.5 ,4,stable,-2.5 
"Toombs County, Georgia(7)",13279,Rural,16.5 ,5,stable,1.8 
"Van Wert County, Ohio(6)",39161,Rural,16.5 ,6,stable,2.5 
"Valencia County, New Mexico(7)",35061,Urban,16.5 ,15,stable,1.4 
"Jessamine County, Kentucky(7)",21113,Urban,16.5 ,11,stable,-0.5 
"Sacramento County, California(7)",6067,Urban,16.5 ,292,stable,-2.3 
"Gray County, Texas(7)",48179,Rural,16.5 ,4,stable,-0.4 
"Okanogan County, Washington(6)",53047,Rural,16.5 ,11,stable,0.6 
"Choctaw County, Alabama(6)",1023,Rural,16.4 ,3,*,*
"Will County, Illinois(7)",17197,Urban,16.4 ,130,stable,0.1 
"Burke County, Georgia(7)",13033,Urban,16.4 ,5,stable,0.5 
"Mecklenburg County, North Carolina(6)",37119,Urban,16.4 ,177,stable,0.0 
"Shelby County, Texas(7)",48419,Rural,16.4 ,5,stable,0.6 
"Allegan County, Michigan(6)",26005,Rural,16.4 ,24,stable,1.7 
"Oakland County, Michigan(6)",26125,Urban,16.4 ,271,rising,5.3 
"Johnson County, Iowa(7)",19103,Urban,16.4 ,24,stable,1.5 
"Lewis and Clark County, Montana(6)",30049,Urban,16.4 ,14,stable,2.4 
"Webster County, Missouri(6)",29225,Urban,16.4 ,8,stable,0.5 
"Ingham County, Michigan(6)",26065,Urban,16.4 ,47,stable,0.1 
"Rockingham County, New Hampshire(6)",33015,Urban,16.4 ,72,stable,0.3 
"De Witt County, Illinois(7)",17039,Rural,16.4 ,3,*,*
"Coahoma County, Mississippi(6)",28027,Rural,16.4 ,4,stable,0.0 
"Yolo County, California(7)",6113,Urban,16.4 ,35,rising,1.5 
"Summers County, West Virginia(6)",54089,Rural,16.4 ,3,*,*
"Citrus County, Florida(6)",12017,Urban,16.4 ,49,stable,0.7 
"Barry County, Michigan(6)",26015,Urban,16.3 ,14,stable,-1.8 
"Calhoun County, Michigan(6)",26025,Urban,16.3 ,28,stable,2.2 
"Gilmer County, Georgia(7)",13123,Rural,16.3 ,9,stable,2.7 
"Franklin County, Massachusetts(7)",25011,Rural,16.3 ,17,rising,2.2 
"Davis County, Utah(7)",49011,Urban,16.3 ,52,rising,3.0 
"Orange County, Florida(6)",12095,Urban,16.3 ,236,rising,0.8 
"Rockingham County, Virginia(6)",51165,Urban,16.3 ,17,stable,1.0 
"Warren County, New Jersey(7)",34041,Urban,16.3 ,24,falling,-13.6 
"Macon County, North Carolina(6)",37113,Rural,16.3 ,10,stable,1.7 
"Stark County, Ohio(6)",39151,Urban,16.3 ,82,stable,-0.2 
"Delaware County, Pennsylvania(6)",42045,Urban,16.3 ,114,stable,-0.8 
"Covington County, Alabama(6)",1039,Rural,16.3 ,8,stable,-15.6 
"San Diego County, California(7)",6073,Urban,16.3 ,598,stable,0.6 
"Walla Walla County, Washington(6)",53071,Urban,16.3 ,13,rising,2.6 
"Shenandoah County, Virginia(6)",51171,Rural,16.3 ,10,stable,1.1 
"Rabun County, Georgia(7)",13241,Rural,16.3 ,4,*,*
"Middlesex County, Connecticut(7)",9007,Urban,16.3 ,40,rising,18.4 
"Platte County, Nebraska(6)",31141,Rural,16.3 ,7,stable,1.0 
"Ozaukee County, Wisconsin(6)",55089,Urban,16.3 ,21,rising,2.4 
"Chemung County, New York(7)",36015,Urban,16.2 ,19,stable,0.3 
"Cassia County, Idaho(7)",16031,Rural,16.2 ,4,*,*
"Oconee County, Georgia(7)",13219,Urban,16.2 ,8,falling,-11.1 
"Mahoning County, Ohio(6)",39099,Urban,16.2 ,50,stable,1.7 
"DeKalb County, Georgia(7)",13089,Urban,16.2 ,129,rising,2.1 
"Waupaca County, Wisconsin(6)",55135,Rural,16.2 ,12,stable,0.8 
"Russell County, Virginia(6)",51167,Rural,16.2 ,6,stable,-0.1 
"Somerset County, Maryland(6)",24039,Urban,16.2 ,5,stable,-1.0 
"Pike County, Alabama(6)",1109,Rural,16.1 ,6,stable,2.8 
"Allegheny County, Pennsylvania(6)",42003,Urban,16.1 ,268,falling,-0.7 
"Pend Oreille County, Washington(6)",53051,Rural,16.1 ,3,stable,2.7 
"Summit County, Ohio(6)",39153,Urban,16.1 ,113,stable,0.4 
"Arapahoe County, Colorado(6)",8005,Urban,16.1 ,113,rising,1.6 
"Mohave County, Arizona(6)",4015,Urban,16.1 ,63,falling,-6.9 
"Tioga County, New York(7)",36107,Urban,16.1 ,12,stable,-0.7 
"Bucks County, Pennsylvania(6)",42017,Urban,16.1 ,142,stable,-0.4 
"Coconino County, Arizona(6)",4005,Urban,16.1 ,23,stable,-0.1 
"Accomack County, Virginia(6)",51001,Rural,16.1 ,9,*,*
"Cuyahoga County, Ohio(6)",39035,Urban,16.1 ,261,stable,0.9 
"Cherokee County, South Carolina(6)",45021,Rural,16,11,stable,0.0 
"Coffee County, Georgia(7)",13069,Rural,16,8,*,*
"Osage County, Oklahoma(6)",40113,Urban,16,11,stable,0.2 
"Union County, Pennsylvania(6)",42119,Rural,16,9,stable,0.1 
"Marshall County, Alabama(6)",1095,Rural,16,18,stable,-0.9 
"Maricopa County, Arizona(6)",4013,Urban,16,802,stable,0.6 
"Worcester County, Massachusetts(7)",25027,Urban,16,170,falling,-4.4 
"Riverside County, California(7)",6065,Urban,16,427,stable,0.4 
"Garrett County, Maryland(6)",24023,Rural,16,7,stable,2.2 
"Newport News City, Virginia(6)",51700,Urban,16,31,stable,0.4 
"Clayton County, Georgia(7)",13063,Urban,16,41,rising,2.4 
"Tehama County, California(7)",6103,Rural,16,14,stable,1.7 
"Winnebago County, Wisconsin(6)",55139,Urban,15.9 ,33,stable,-1.6 
"Napa County, California(7)",6055,Urban,15.9 ,31,stable,-2.1 
"Wake County, North Carolina(6)",37183,Urban,15.9 ,181,stable,0.3 
"Dixie County, Florida(6)",12029,Rural,15.9 ,4,stable,-0.2 
"Hancock County, West Virginia(6)",54029,Urban,15.9 ,7,stable,0.0 
"Montmorency County, Michigan(6)",26119,Rural,15.9 ,3,stable,0.1 
"Windham County, Connecticut(7)",9015,Urban,15.9 ,25,stable,1.3 
"Gwinnett County, Georgia(7)",13135,Urban,15.9 ,143,rising,1.5 
"Broomfield County, Colorado(6)",8014,Urban,15.9 ,13,rising,5.0 
"Tift County, Georgia(7)",13277,Rural,15.9 ,8,stable,2.6 
"Clackamas County, Oregon(6)",41005,Urban,15.9 ,88,stable,0.9 
"Delaware County, Ohio(6)",39041,Urban,15.9 ,37,stable,-0.7 
"Scott County, Kentucky(7)",21209,Urban,15.9 ,10,stable,1.0 
"Washburn County, Wisconsin(6)",55129,Rural,15.9 ,5,stable,0.9 
"Carroll County, Arkansas(6)",5015,Rural,15.9 ,6,stable,1.3 
"White County, Georgia(7)",13311,Rural,15.9 ,6,*,*
"Dauphin County, Pennsylvania(6)",42043,Urban,15.9 ,57,stable,0.1 
"Greene County, Ohio(6)",39057,Urban,15.9 ,34,stable,0.4 
"Greene County, Missouri(6)",29077,Urban,15.8 ,55,stable,0.1 
"Ottawa County, Ohio(6)",39123,Urban,15.8 ,10,stable,19.3 
"Graham County, Arizona(6)",4009,Rural,15.8 ,6,stable,-1.3 
"Thurston County, Washington(7)",53067,Urban,15.8 ,58,stable,-1.5 
"Mesa County, Colorado(6)",8077,Urban,15.8 ,32,stable,1.2 
"Adams County, Pennsylvania(6)",42001,Urban,15.8 ,24,stable,0.0 
"Bernalillo County, New Mexico(7)",35001,Urban,15.8 ,125,rising,1.8 
"Buncombe County, North Carolina(6)",37021,Urban,15.8 ,59,stable,1.2 
"Carter County, Tennessee(6)",47019,Urban,15.8 ,14,stable,2.7 
"Talbot County, Maryland(6)",24041,Rural,15.8 ,10,stable,0.2 
"Taney County, Missouri(6)",29213,Rural,15.8 ,12,stable,1.2 
"Clinton County, Pennsylvania(6)",42035,Rural,15.8 ,8,stable,1.3 
"Fremont County, Colorado(6)",8043,Rural,15.8 ,11,stable,1.9 
"Van Buren County, Michigan(6)",26159,Rural,15.8 ,16,stable,2.6 
"Jackson County, Florida(6)",12063,Rural,15.8 ,10,stable,3.7 
"Brevard County, Florida(6)",12009,Urban,15.8 ,152,stable,-0.2 
"Nicholas County, West Virginia(6)",54067,Rural,15.8 ,6,stable,1.6 
"Denver County, Colorado(6)",8031,Urban,15.8 ,108,stable,1.0 
"Leake County, Mississippi(6)",28079,Rural,15.8 ,4,stable,-2.4 
"Williams County, North Dakota(6)",38105,Rural,15.8 ,5,stable,1.1 
"Waynesboro City, Virginia(6)",51820,Urban,15.8 ,4,stable,-0.3 
"Fairbanks North Star, Alaska(6)",2090,Urban,15.8 ,14,stable,1.6 
"Dent County, Missouri(6)",29065,Rural,15.8 ,3,stable,2.9 
"Crawford County, Pennsylvania(6)",42039,Rural,15.7 ,20,stable,0.4 
"Houston County, Georgia(7)",13153,Urban,15.7 ,27,stable,1.7 
"Seminole County, Florida(6)",12117,Urban,15.7 ,90,stable,0.2 
"Erie County, Ohio(6)",39043,Urban,15.7 ,18,stable,2.2 
"Randolph County, Alabama(6)",1111,Rural,15.7 ,5,stable,-1.0 
"Lake County, Illinois(7)",17097,Urban,15.7 ,132,rising,0.8 
"Weld County, Colorado(6)",8123,Urban,15.7 ,51,falling,-12.3 
"Hunterdon County, New Jersey(7)",34019,Urban,15.7 ,28,stable,0.3 
"Sanpete County, Utah(7)",49039,Rural,15.6 ,5,*,*
"Orleans County, Vermont(6)",50019,Rural,15.6 ,5,stable,0.2 
"Hendry County, Florida(6)",12051,Rural,15.6 ,7,stable,-0.5 
"Sheridan County, Wyoming(6)",56033,Rural,15.6 ,6,stable,-1.4 
"Atlantic County, New Jersey(7)",34001,Urban,15.6 ,58,stable,-0.5 
"McLeod County, Minnesota(6)",27085,Rural,15.6 ,7,stable,1.4 
"DuPage County, Illinois(7)",17043,Urban,15.6 ,177,stable,0.7 
"Franklin County, Maine(6)",23007,Rural,15.6 ,6,stable,-2.1 
"Sumter County, South Carolina(6)",45085,Urban,15.6 ,20,stable,-6.7 
"Tuscarawas County, Ohio(6)",39157,Rural,15.6 ,19,stable,0.4 
"Davidson County, Tennessee(6)",47037,Urban,15.6 ,116,stable,0.7 
"Kendall County, Illinois(7)",17093,Urban,15.6 ,19,stable,-1.9 
"Fremont County, Wyoming(6)",56013,Rural,15.6 ,9,stable,-0.5 
"Alleghany County and Clifton Forge City, Virginia(6)",51005,Rural,15.6 ,4,stable,2.9 
"San Juan County, Washington(7)",53055,Rural,15.6 ,6,*,*
"Kennebec County, Maine(6)",23011,Rural,15.6 ,27,stable,-0.3 
"Klamath County, Oregon(6)",41035,Rural,15.5 ,15,stable,1.6 
"Cumberland County, Pennsylvania(6)",42041,Urban,15.5 ,53,stable,-0.2 
"Barry County, Missouri(6)",29009,Rural,15.5 ,8,stable,4.4 
"Scott County, Minnesota(6)",27139,Urban,15.5 ,24,stable,1.1 
"Cook County, Illinois(7)",17031,Urban,15.5 ,938,stable,-0.4 
"Midland County, Michigan(6)",26111,Urban,15.5 ,17,stable,1.2 
"Otsego County, New York(7)",36077,Rural,15.5 ,14,stable,2.1 
"Mason County, Michigan(6)",26105,Rural,15.5 ,7,stable,1.0 
"Benzie County, Michigan(6)",26019,Urban,15.5 ,5,stable,-0.2 
"Clark County, Washington(6)",53011,Urban,15.5 ,90,rising,1.5 
"Columbiana County, Ohio(6)",39029,Rural,15.5 ,24,stable,1.8 
"Benton County, Washington(6)",53005,Urban,15.5 ,36,stable,-7.3 
"Yakima County, Washington(6)",53077,Urban,15.5 ,41,stable,1.0 
"Kalamazoo County, Michigan(6)",26077,Urban,15.5 ,45,stable,0.4 
"Fayette County, Ohio(6)",39047,Rural,15.5 ,5,stable,1.8 
"Sonoma County, California(7)",6097,Urban,15.5 ,106,rising,1.7 
"Mendocino County, California(7)",6045,Rural,15.5 ,22,stable,2.0 
"Muscogee County, Georgia(7)",13215,Urban,15.5 ,36,stable,0.4 
"Placer County, California(7)",6061,Urban,15.4 ,85,rising,1.6 
"Bergen County, New Jersey(7)",34003,Urban,15.4 ,192,stable,0.3 
"York County, Maine(6)",23031,Urban,15.4 ,47,stable,-0.2 
"Pinellas County, Florida(6)",12103,Urban,15.4 ,238,stable,0.2 
"Colonial Heights City, Virginia(6)",51570,Urban,15.4 ,4,*,*
"Fayette County, Georgia(7)",13113,Urban,15.4 ,25,stable,1.3 
"Fort Bend County, Texas(7)",48157,Urban,15.4 ,124,stable,-0.4 
"Martin County, Florida(6)",12085,Urban,15.4 ,43,rising,1.5 
"Lawrence County, Pennsylvania(6)",42073,Urban,15.4 ,20,stable,-0.4 
"Alexander County, North Carolina(6)",37003,Urban,15.4 ,8,stable,-1.7 
"Mahaska County, Iowa(7)",19123,Rural,15.4 ,4,*,*
"Columbia County, Georgia(7)",13073,Urban,15.3 ,26,stable,0.4 
"Salem City, Virginia(6)",51775,Urban,15.3 ,5,*,*
"Monmouth County, New Jersey(7)",34025,Urban,15.3 ,133,stable,0.7 
"Lewis County, New York(7)",36049,Rural,15.3 ,5,stable,0.7 
"Wayne County, Ohio(6)",39169,Rural,15.3 ,21,stable,1.9 
"Umatilla County, Oregon(6)",41059,Rural,15.3 ,14,stable,1.3 
"Passaic County, New Jersey(7)",34031,Urban,15.3 ,93,stable,0.6 
"Hart County, Georgia(7)",13147,Rural,15.3 ,6,stable,3.4 
"Lincoln County, Maine(6)",23015,Rural,15.3 ,9,stable,2.2 
"Pittsylvania County, Virginia(6)",51143,Rural,15.3 ,13,stable,1.0 
"Butler County, Pennsylvania(6)",42019,Urban,15.2 ,40,stable,-10.3 
"Hennepin County, Minnesota(6)",27053,Urban,15.2 ,216,stable,0.6 
"Nye County, Nevada(6)",32023,Rural,15.2 ,14,stable,-0.4 
"Kerr County, Texas(7)",48265,Rural,15.2 ,13,stable,0.1 
"Middlesex County, New Jersey(7)",34023,Urban,15.2 ,156,stable,0.1 
"Berrien County, Georgia(7)",13019,Rural,15.2 ,4,*,*
"Charles County, Maryland(6)",24017,Urban,15.2 ,28,stable,1.3 
"Jefferson County, Washington(7)",53031,Rural,15.2 ,11,stable,0.3 
"Leelanau County, Michigan(6)",26089,Urban,15.2 ,6,stable,-1.9 
"Henderson County, North Carolina(6)",37089,Urban,15.2 ,28,stable,-0.5 
"Teton County, Wyoming(6)",56039,Rural,15.2 ,4,*,*
"Sussex County, New Jersey(7)",34037,Urban,15.1 ,31,stable,-0.2 
"Rowan County, Kentucky(7)",21205,Rural,15.1 ,4,stable,-2.9 
"Dallas County, Iowa(7)",19049,Urban,15.1 ,15,stable,1.2 
"Roanoke County, Virginia(6)",51161,Urban,15.1 ,21,stable,2.2 
"Floyd County, Virginia(6)",51063,Urban,15.1 ,4,*,*
"Eaton County, Michigan(6)",26045,Urban,15.1 ,22,stable,-0.7 
"Hubbard County, Minnesota(6)",27057,Rural,15.1 ,5,stable,2.6 
"Lowndes County, Georgia(7)",13185,Urban,15.1 ,17,stable,0.6 
"Gratiot County, Michigan(6)",26057,Rural,15.1 ,8,stable,3.3 
"Jerome County, Idaho(7)",16053,Urban,15.1 ,4,stable,3.3 
"Clinton County, Michigan(6)",26037,Urban,15.1 ,15,stable,0.8 
"Belmont County, Ohio(6)",39013,Urban,15.1 ,15,stable,0.2 
"Warren County, Virginia(6)",51187,Urban,15.1 ,8,stable,-2.5 
"Ionia County, Michigan(6)",26067,Urban,15.1 ,12,stable,-0.1 
"Washington County, Rhode Island(6)",44009,Urban,15,28,stable,0.6 
"Blount County, Alabama(6)",1009,Urban,15,11,stable,-1.2 
"Lynchburg City, Virginia(6)",51680,Urban,15,11,stable,0.2 
"Washtenaw County, Michigan(6)",26161,Urban,15,59,stable,-0.9 
"Madison County, Idaho(7)",16065,Rural,15,3,*,*
"Latah County, Idaho(7)",16057,Rural,15,6,*,*
"Washoe County, Nevada(6)",32031,Urban,15,88,stable,0.9 
"Buchanan County, Virginia(6)",51027,Rural,15,5,stable,-1.6 
"Rusk County, Texas(7)",48401,Urban,15,10,stable,-3.8 
"Lake County, Montana(6)",30047,Rural,15,7,stable,-0.4 
"Grafton County, New Hampshire(6)",33009,Rural,15,19,stable,1.5 
"Santa Cruz County, California(7)",6087,Urban,15,48,rising,2.0 
"Mercer County, Pennsylvania(6)",42085,Rural,15,25,stable,1.1 
"Bennington County, Vermont(6)",50003,Rural,15,9,stable,-1.2 
"Norfolk County, Massachusetts(7)",25021,Urban,15,140,stable,-0.6 
"Nelson County, Virginia(6)",51125,Urban,15,4,*,*
"Salt Lake County, Utah(7)",49035,Urban,14.9 ,161,rising,2.3 
"Botetourt County, Virginia(6)",51023,Urban,14.9 ,7,stable,2.6 
"Addison County, Vermont(6)",50001,Rural,14.9 ,8,stable,-1.3 
"Cerro Gordo County, Iowa(7)",19033,Rural,14.9 ,10,stable,-14.0 
"Somerset County, Pennsylvania(6)",42111,Rural,14.9 ,17,stable,2.2 
"Rio Arriba County, New Mexico(7)",35039,Rural,14.9 ,7,stable,1.4 
"Alachua County, Florida(6)",12001,Urban,14.9 ,43,stable,-0.9 
"Winona County, Minnesota(6)",27169,Rural,14.9 ,9,stable,-9.1 
"Fauquier County, Virginia(6)",51061,Urban,14.8 ,14,stable,-1.6 
"Butte County, California(7)",6007,Urban,14.8 ,41,stable,1.1 
"Grady County, Georgia(7)",13131,Rural,14.8 ,5,*,*
"Essex County, Massachusetts(7)",25009,Urban,14.8 ,153,stable,-1.1 
"Union County, New Jersey(7)",34039,Urban,14.8 ,97,stable,0.5 
"Russell County, Alabama(6)",1113,Urban,14.8 ,10,stable,0.7 
"Queen Annes County, Maryland(6)",24035,Urban,14.8 ,11,stable,0.2 
"Contra Costa County, California(7)",6013,Urban,14.8 ,211,rising,1.6 
"Spalding County, Georgia(7)",13255,Urban,14.8 ,14,stable,2.4 
"Twin Falls County, Idaho(7)",16083,Urban,14.8 ,15,stable,1.8 
"Washington County, Utah(7)",49053,Urban,14.8 ,33,rising,2.7 
"Staunton City, Virginia(6)",51790,Urban,14.7 ,6,stable,-1.0 
"Madison County, Nebraska(6)",31119,Rural,14.7 ,6,stable,1.5 
"Calvert County, Maryland(6)",24009,Urban,14.7 ,16,stable,-1.0 
"Monroe County, Alabama(6)",1099,Rural,14.7 ,5,stable,1.3 
"Ashtabula County, Ohio(6)",39007,Urban,14.7 ,20,falling,-2.1 
"Story County, Iowa(7)",19169,Urban,14.7 ,13,rising,1.7 
"Sussex County, Delaware(6)",10005,Rural,14.7 ,58,stable,0.1 
"Lenawee County, Michigan(6)",26091,Rural,14.7 ,19,stable,-5.4 
"Shelby County, Alabama(6)",1117,Urban,14.7 ,39,stable,-0.2 
"Westchester County, New York(7)",36119,Urban,14.7 ,190,stable,0.4 
"Washington County, Florida(6)",12133,Urban,14.7 ,5,*,*
"Sagadahoc County, Maine(6)",23023,Urban,14.7 ,8,stable,-2.2 
"Cumberland County, Maine(6)",23005,Urban,14.7 ,61,stable,-0.2 
"Dallas County, Missouri(6)",29059,Urban,14.7 ,4,*,*
"Lincoln County, South Dakota(6)",46083,Urban,14.7 ,9,stable,1.0 
"Centre County, Pennsylvania(6)",42027,Urban,14.7 ,25,stable,0.0 
"Anne Arundel County, Maryland(6)",24003,Urban,14.7 ,104,stable,0.5 
"Larimer County, Colorado(6)",8069,Urban,14.6 ,59,stable,0.5 
"York County, South Carolina(6)",45091,Urban,14.6 ,48,stable,-11.5 
"Hardin County, Iowa(7)",19083,Rural,14.6 ,4,stable,0.6 
"Douglas County, Minnesota(6)",27041,Rural,14.6 ,8,stable,1.7 
"Miami-Dade County, Florida(6)",12086,Urban,14.6 ,489,rising,1.2 
"Cowlitz County, Washington(6)",53015,Urban,14.6 ,21,stable,1.2 
"Pike County, Pennsylvania(6)",42103,Rural,14.6 ,13,stable,-0.2 
"Lancaster County, Pennsylvania(6)",42071,Urban,14.6 ,102,stable,0.5 
"Hood River County, Oregon(6)",41027,Rural,14.6 ,4,stable,1.6 
"Marquette County, Wisconsin(6)",55077,Rural,14.6 ,4,*,*
"Washington County, New York(7)",36115,Urban,14.6 ,14,stable,-0.1 
"Spokane County, Washington(6)",53063,Urban,14.6 ,94,stable,-0.4 
"El Dorado County, California(7)",6017,Urban,14.6 ,41,stable,1.4 
"Madison County, Florida(6)",12079,Rural,14.6 ,3,*,*
"Cross County, Arkansas(6)",5037,Rural,14.6 ,3,stable,-29.4 
"Jefferson County, Colorado(6)",8059,Urban,14.6 ,105,rising,1.8 
"Multnomah County, Oregon(6)",41051,Urban,14.6 ,131,stable,0.7 
"Lincoln County, Mississippi(6)",28085,Rural,14.5 ,6,falling,-24.3 
"Uinta County, Wyoming(6)",56041,Rural,14.5 ,4,*,*
"Yavapai County, Arizona(6)",4025,Urban,14.5 ,61,stable,-2.1 
"Allamakee County, Iowa(7)",19005,Rural,14.5 ,3,stable,0.0 
"Montgomery County, Pennsylvania(6)",42091,Urban,14.5 ,161,falling,-9.2 
"Campbell County, Virginia(6)",51031,Urban,14.5 ,12,stable,-0.6 
"Siskiyou County, California(7)",6093,Rural,14.5 ,10,stable,-1.7 
"Butts County, Georgia(7)",13035,Urban,14.5 ,5,*,*
"Benton County, Oregon(6)",41003,Urban,14.5 ,16,stable,2.1 
"Morris County, New Jersey(7)",34027,Urban,14.5 ,97,stable,0.5 
"Berkshire County, Massachusetts(7)",25003,Urban,14.5 ,29,falling,-12.7 
"Champaign County, Illinois(7)",17019,Urban,14.5 ,30,falling,-2.7 
"Hardin County, Tennessee(6)",47071,Rural,14.4 ,7,falling,-13.7 
"Knox County, Ohio(6)",39083,Rural,14.4 ,12,stable,0.2 
"Ventura County, California(7)",6111,Urban,14.4 ,146,stable,-0.1 
"Morgan County, Missouri(6)",29141,Rural,14.4 ,4,stable,-2.2 
"Jones County, Iowa(7)",19105,Urban,14.4 ,5,stable,0.6 
"Sutter County, California(7)",6101,Urban,14.4 ,17,stable,1.1 
"St. Croix County, Wisconsin(6)",55109,Urban,14.4 ,16,stable,0.8 
"Santa Barbara County, California(7)",6083,Urban,14.4 ,71,stable,-1.2 
"Livingston County, Michigan(6)",26093,Urban,14.4 ,38,stable,-0.6 
"Snohomish County, Washington(7)",53061,Urban,14.4 ,133,falling,-2.9 
"Dickenson County, Virginia(6)",51051,Rural,14.4 ,3,*,*
"Utah County, Utah(7)",49049,Urban,14.4 ,62,rising,2.7 
"Muskegon County, Michigan(6)",26121,Urban,14.4 ,32,falling,-12.6 
"Honolulu County, Hawaii(7)",15003,Urban,14.4 ,180,stable,0.3 
"Snyder County, Pennsylvania(6)",42109,Rural,14.3 ,8,stable,0.9 
"Geneva County, Alabama(6)",1061,Urban,14.3 ,6,stable,-3.9 
"Osceola County, Michigan(6)",26133,Rural,14.3 ,5,stable,-3.0 
"Woodford County, Kentucky(7)",21239,Urban,14.3 ,6,stable,-0.4 
"San Luis Obispo County, California(7)",6079,Urban,14.3 ,57,stable,1.1 
"Boulder County, Colorado(6)",8013,Urban,14.3 ,51,stable,0.7 
"Lewis County, Washington(6)",53041,Rural,14.3 ,17,stable,-1.4 
"Trumbull County, Ohio(6)",39155,Urban,14.3 ,41,stable,0.1 
"Carter County, Kentucky(7)",21043,Urban,14.3 ,5,*,*
"Harrisonburg City, Virginia(6)",51660,Urban,14.3 ,6,stable,-2.2 
"Archuleta County, Colorado(6)",8007,Rural,14.3 ,3,*,*
"Perry County, Pennsylvania(6)",42099,Urban,14.3 ,10,stable,-1.7 
"Wakulla County, Florida(6)",12129,Urban,14.3 ,6,stable,-1.1 
"Douglas County, Oregon(6)",41019,Rural,14.2 ,25,stable,-21.7 
"Litchfield County, Connecticut(7)",9005,Rural,14.2 ,40,rising,1.5 
"Henry County, Tennessee(6)",47079,Rural,14.2 ,8,stable,-1.4 
"Emmet County, Michigan(6)",26047,Rural,14.2 ,8,stable,1.6 
"York County, Virginia(6)",51199,Urban,14.2 ,13,stable,0.7 
"Patrick County, Virginia(6)",51141,Rural,14.2 ,4,*,*
"Sullivan County, New York(7)",36105,Rural,14.1 ,15,falling,-7.5 
"Lycoming County, Pennsylvania(6)",42081,Urban,14.1 ,22,stable,1.5 
"Washington County, Vermont(6)",50023,Rural,14.1 ,13,stable,-1.0 
"Russell County, Kentucky(7)",21207,Rural,14.1 ,4,stable,0.5 
"Lane County, Oregon(6)",41039,Urban,14.1 ,71,stable,-14.9 
"Codington County, South Dakota(6)",46029,Rural,14.1 ,6,stable,0.9 
"Outagamie County, Wisconsin(6)",55087,Urban,14.1 ,32,stable,-0.9 
"Hampshire County, Massachusetts(7)",25015,Urban,14.1 ,28,stable,0.4 
"Shasta County, California(7)",6089,Urban,14.1 ,37,stable,0.6 
"Bristol County, Rhode Island(6)",44001,Urban,14.1 ,9,stable,0.1 
"Douglas County, Nevada(6)",32005,Rural,14.1 ,14,stable,2.0 
"Prince Georges County, Maryland(6)",24033,Urban,14.1 ,154,stable,1.2 
"King County, Washington(7)",53033,Urban,14.1 ,338,stable,-0.5 
"Austin County, Texas(7)",48015,Urban,14.1 ,6,stable,-1.1 
"Otsego County, Michigan(6)",26137,Rural,14.1 ,5,stable,-4.6 
"Rutland County, Vermont(6)",50021,Rural,14.1 ,13,stable,-0.7 
